Date,Time,Value[mNAP],State of value
1985-04-17,00:00:00,0.509,40
1985-04-18,00:00:00,0.404,40
1985-04-19,00:00:00,0.328,40
1985-04-20,00:00:00,0.545,40
1985-04-21,00:00:00,0.524,40
1985-04-22,00:00:00,0.342,40
1985-04-23,00:00:00,0.325,40
1985-04-24,00:00:00,0.319,40
1985-04-25,00:00:00,0.497,40
1985-04-26,00:00:00,0.580,40
1985-04-27,00:00:00,0.688,40
1985-04-28,00:00:00,1.104,40
1985-04-29,00:00:00,0.711,40
1985-04-30,00:00:00,0.566,40
1985-05-01,00:00:00,0.634,40
1985-05-02,00:00:00,0.805,40
1985-05-03,00:00:00,0.617,40
1985-05-04,00:00:00,0.582,40
1985-05-05,00:00:00,0.579,40
1985-05-06,00:00:00,0.619,40
1985-05-07,00:00:00,0.647,40
1985-05-08,00:00:00,0.679,40
1985-05-09,00:00:00,0.635,40
1985-05-10,00:00:00,0.609,40
1985-05-11,00:00:00,0.505,40
1985-05-12,00:00:00,0.445,40
1985-05-13,00:00:00,0.485,40
1985-05-14,00:00:00,0.576,40
1985-05-15,00:00:00,0.445,40
1985-05-16,00:00:00,0.286,40
1985-05-17,00:00:00,0.364,40
1985-05-18,00:00:00,0.320,40
1985-05-19,00:00:00,0.376,40
1985-05-20,00:00:00,0.407,40
1985-05-21,00:00:00,0.540,40
1985-05-22,00:00:00,0.606,40
1985-05-23,00:00:00,0.675,40
1985-05-24,00:00:00,0.510,40
1985-05-25,00:00:00,0.504,40
1985-05-26,00:00:00,0.561,40
1985-05-27,00:00:00,0.531,40
1985-05-28,00:00:00,0.570,40
1985-05-29,00:00:00,0.530,40
1985-05-30,00:00:00,0.303,40
1985-05-31,00:00:00,0.315,40
1985-06-01,00:00:00,0.334,40
1985-06-02,00:00:00,0.389,40
1985-06-03,00:00:00,0.392,40
1985-06-04,00:00:00,0.400,40
1985-06-05,00:00:00,0.439,40
1985-06-06,00:00:00,0.491,40
1985-06-07,00:00:00,0.559,40
1985-06-08,00:00:00,0.614,40
1985-06-09,00:00:00,0.529,40
1985-06-10,00:00:00,0.594,40
1985-06-11,00:00:00,0.517,40
1985-06-12,00:00:00,0.515,40
1985-06-13,00:00:00,0.907,40
1985-06-14,00:00:00,0.744,40
1985-06-15,00:00:00,0.626,40
1985-06-16,00:00:00,0.493,40
1985-06-17,00:00:00,0.444,40
1985-06-18,00:00:00,0.424,40
1985-06-19,00:00:00,0.428,40
1985-06-20,00:00:00,0.580,40
1985-06-21,00:00:00,0.574,40
1985-06-22,00:00:00,0.532,40
1985-06-23,00:00:00,0.547,40
1985-06-24,00:00:00,0.496,40
1985-06-25,00:00:00,0.500,40
1985-06-26,00:00:00,0.499,40
1985-06-27,00:00:00,0.570,40
1985-06-28,00:00:00,0.569,40
1985-06-29,00:00:00,0.566,40
1985-06-30,00:00:00,0.512,40
1985-07-01,00:00:00,0.449,40
1985-07-02,00:00:00,0.342,40
1985-07-03,00:00:00,0.217,40
1985-07-04,00:00:00,0.414,40
1985-07-05,00:00:00,0.351,40
1985-07-06,00:00:00,0.351,40
1985-07-07,00:00:00,0.328,40
1985-07-08,00:00:00,0.328,40
1985-07-09,00:00:00,0.282,40
1985-07-10,00:00:00,0.256,40
1985-07-11,00:00:00,0.296,40
1985-07-12,00:00:00,0.295,40
1985-07-13,00:00:00,0.367,40
1985-07-14,00:00:00,0.321,40
1985-07-15,00:00:00,0.412,40
1985-07-16,00:00:00,0.412,40
1985-07-17,00:00:00,0.409,40
1985-07-18,00:00:00,0.353,40
1985-07-19,00:00:00,0.430,40
1985-07-20,00:00:00,0.542,40
1985-07-21,00:00:00,0.607,40
1985-07-22,00:00:00,0.500,40
